Informal ,formal 
வேலாடுவாங்க,விளையாடுவார்கள்
வெளாடினீங்க,விளையாடினீர்கள்
வெளாடறீங்க,விளையாடுறீர்கள்
வெளாடுவீங்க,விளையாடுவீர்கள்
வெளாடிச்சி,விளையாடியது
வெளாடும்,விளையாடும்
வெலாடுது,விளையாடுகிறது
வெலாடினான்,விளையாடினான்
வெலாற்றான்,விளையாடுகிறான்
வெலாடுவான்,விளையாடுவான்
வெலாடினால்,விளையாடினாள்
வெலாற்றால்,விளையாடுகிறாள்
வெளாடுவாள்,விளையாடுவாள்
படிச்சுற,படித்தல்
இழுக்குற,இழுத்தல்
இழுக்குறான்,இழுக்கிறான்
இழுக்குறாள்,இழுக்கிறாள்
இழுக்குது,இழுக்கிறது
இழுத்திச்சி,இழுத்தது
இழுக்குறாங்க,இழுக்கிறார்கள்
இழுத்தாங்க,இழுத்தார்கள்
இழுப்பாங்க,இழுப்பார்கள்
இழுப்பீங்க,இழப்பீர்கள்
இழுக்குறீங்க,இழுக்கின்றீர்கள்
இழுப்பீங்க,இழப்பீர்கள்
இழுக்குறேன்,இழுக்கின்றேன்
இழுக்குறான்,இழுக்கிறான்
இழுக்குறாள்,இழுக்கின்றாள்
குடிச்ச,குடித்தல்
குடிச்சான்,குடித்தான்
குடிச்சுவான்,குடிப்பான்
குடிச்சுறான்,குடிக்கிறான்
குடிச்சாள்,குடித்தாள்
குடிச்சுறாள்,குடிக்கின்றாள்
குடிச்சுவாள்,குடிப்பாள்
குடிச்சிச்சி,குடித்தது
குடிச்சும்,குடிக்கும்
குடிச்சுது,குடிக்கின்றது
குடிச்சுறாங்க,குடிக்கிறார்கள்
குடிச்சுவாங்க,குடிப்பார்கள்
குடிச்சாங்க,குடித்தார்கள்
குடிப்பீங்க,குடிப்பீர்கள்
குடிக்கிறீங்க,குடிக்கின்றீர்கள்
குடிசீங்க,குடித்தீர்கள்
குடிச்சேன்,குடித்தேன்
குடிச்சுறேன்,குடிக்கிறேன்
குடிச்சுவேன்,குடிப்பேன்
கேக்குற,கேட்டல்
கேக்குறேன்,கேட்கின்றேன்
கேப்பேன்,கேட்பேன்
கேட்டிச்சி,கேட்டது
கேக்கும்,கேட்கும்
கேக்குது,கேட்கின்றது
கேட்பாங்க,கேட்பார்கள்
கேக்குறாங்க,கேட்கிறார்கள்
கேட்டாங்க,கேட்டார்கள்
கேட்டீங்க,கேட்டீர்கள்
கேக்குறீங்க,கேட்கின்றீர்கள்
கேப்பீங்க,கேட்பீர்கள்
கேக்குறான்,கேட்கின்றான்
கேப்பான்,கேட்பான்
கேக்குறாள்,கேட்கின்றாள்
கேப்பாள்,கேட்பாள்
பாய்ங்க,பாய்தல்
பாஞ்சேன்,பாய்ந்தேன்
பாயுவேன்,பாய்வேன்
பாயிறேன்,பாய்கின்றேன்
பாஞ்சாங்க,பாய்ந்தார்கள்
பாயிறாங்க,பாய்கின்றனர்
பாயுவாங்க,பாய்வார்கள்
பாஞ்சீங்க,பாய்தீர்கள்
பாயிறீங்க,பாய்கின்றீர்கள்
பாயுவீங்க,பாய்வீர்கள்
பாஞ்சிச்சி,பாய்ந்தது
பாயுது,பாய்கின்றது
பாஞ்சான்,பாய்ந்தான்
பாயுரான்,பாய்கின்றான்
பாயுவான்,பாய்வான்
பாஞ்சால்,பாய்ந்தாள்
பாயுறாள்,பாய்கின்றாள்
பாயுவால்,பாய்வாள்
தூங்குற,தூங்குதல்
தூங்குறான்,தூங்குகிறான்
தூங்குறால்,தூங்குகிறாள்
தூங்கிச்சி,தூங்கியது
தூங்குது,தூங்குகின்றது
தூக்கினாங்க,தூங்கினார்கள்
தூங்குறாங்க,தூங்குகின்றார்கள்
தூங்குவாங்க,தூங்குவார்கள்
தூங்கினீங்க,தூங்கினீர்கள்
தூங்குறீங்க,தூங்குகின்றீர்
தூங்குவீங்க,தூங்குவீர்கள்
திரும்புங்க,திரும்பு
திரும்பிச்சி,திரும்பியது
திரும்புது,திரும்புகிறது
திரும்பினாங்க,திரும்பினார்கள்
திரும்புறாங்க,திரும்புகிறார்கள்
திரும்புவாங்க,திரும்புவார்கள்
திரும்பினீங்க,திரும்பினீர்கள்
திரும்புறீங்க,திரும்புகிறீர்கள்
திரும்புவீங்க,திரும்புவீர்கள்
உக்காருங்க,உட்கார்
நடங்க,நட
நடக்குறேன்,நடக்கின்றேன்
நடப்பாங்க,நடப்பார்கள்
நடக்குறாங்க,நடக்கிறார்கள்
நடந்தாங்க,நடந்தார்கள்
நடந்தீங்க,நடந்தீர்கள்
நடக்குறீங்க,நடக்கின்றீர்கள்
நடப்பீங்க,நடப்பீர்கள்
நடந்திச்சி,நடந்தது
நடக்குது,நடக்கின்றது
நடக்குறான்,நடக்கின்றான்
நடக்குறாள்,நடக்கின்றாள்
தொரங்க,திற
தொறந்திச்சி,திறந்தது
தொறக்கும்,திறக்கும்
தொறக்குது,திறக்கின்றது
தொறந்தாங்க,திறந்தார்கள்
தொறக்குறாங்க,திறக்கிறார்கள்
தொரப்பாங்க,திறப்பார்கள்
தொறப்பேன்,திறப்பேன்
தொறக்குறேன்,திறக்கின்றேன்
தொறந்தேன்,திறந்தேன்
தொறந்தீங்க,திறந்தீர்கள்
தொறக்குறீங்க,திறக்கின்றீர்கள்
தொறப்பீங்க,திறப்பீர்கள்
தொறந்தான்,திறந்தான்
தொறந்தால்,திறந்தாள்
தொறக்குறான்,திறக்கிறான்
தொறக்குறாள்,திறக்கின்றாள்
தொரப்பான்,திறப்பான்
தொரப்பால்,திறப்பாள்
உடுங்க,விடு
உட்டிச்சி,விட்டது
உடுது,விடுகின்றது
உடும்,விடும்
உட்டாங்க,விட்டார்கள்
உட்றாங்க,விடுகிறார்கள்
உடுவாங்க,விடுவார்கள்
உட்டீங்க,விட்டீர்கள்
உட்ரீங்க,விடுகிறீர்கள்
உட்டேன்,விட்டேன்
உட்றேன்,விடுகிறேன்
உடுவேன்,விடுவேன்
உட்டான்,விட்டான்
உட்டால்,விட்டாள்
உட்றான்,விடுகிறான்
உட்ராள்,விடுகிறாள்
உடுவான்,விடுவான்
உடுவாள்,விடுவாள்
பறக்குற,பறக்கின்ற
பறக்குது,பறக்கின்றது
பரந்திச்சி,பறந்தது
பறந்தாங்க,பறந்தார்கள்
பார்க்குறாங்க,பறக்கின்றனர்
பரப்பாங்க,பறப்பார்கள்
பிறந்தீங்க,பறந்தீர்கள்
பறக்குறீங்க,பறக்கின்றீர்
பறப்பீங்க,பறப்பீர்கள்
பறக்குறேன்,பறக்கின்றேன்
பறக்குறான்,பறக்கிறான்
பறக்குறாள்,பறக்கின்றாள்
கூப்புடு,கூப்பிடு
கூபுடிச்சி,கூப்பிட்டது
கூப்புடும்,கூப்பிடும்
கூப்புடுது,கூப்பிடுகிறது
கூப்புட்டான்,கூப்பிட்டான்
கூப்புட்றான்,கூப்பிடுகிறான்
கூப்புடுவான்,கூப்பிடுவான்
கூப்புட்டால்,கூப்பிட்டாள்
கூப்புடுறாள்,கூப்பிடுகிறாள்
கூப்புடுவாள்,கூப்பிடுவாள்
கூப்புட்டாங்க,கூப்பிட்டார்கள்
கூப்புட்றாங்க,கூப்பிடுகிறார்கள்
கூப்புடுவாங்க,கூப்பிடுவார்கள்
கூப்புட்டீங்க,கூப்பிட்டீர்கள்
கூப்புடுறீங்க,கூப்பிடுகிறீர்கள்
கூப்புடுவீங்க,கூப்பிடுவீர்கள்
கூப்புட்டேன்,கூப்பிட்டேன்
கூப்புடுறேன்,கூப்பிடுகிறேன்
கூப்புடுவேன்,கூப்பிடுவேன்
காட்டுங்க,காட்டுங்கள்
காட்றேன்,காட்டுகிறேன்
காட்டினாங்க,கட்டினார்கள்
காட்றாங்க,காட்டுகிறார்கள்
காட்டுவாங்க,காட்டுவார்கள்
காட்டினீங்க,காட்டினீர்கள்
காட்டறீங்க,காட்டுகிறீர்கள்
காட்டுவீங்க,காட்டுவீர்கள்
காட்டிச்சி,காட்டியது
காட்டுது,காட்டுகிறது
காட்றான்,காட்டுகிறான்
காட்றாள்,காட்டுகிறாள்
ஓடைங்க,உடை
ஒடச்சென்,உடைத்தேன்
ஒடச்சுறேன்,உடைக்கின்றேன்
ஒடச்சுவேன்,உடைப்பேன்
ஒடச்சாங்க,உடைத்தார்கள்
ஒடச்சுறாங்க,உடைக்கிறார்கள்
ஒடச்சுவாங்க,உடைப்பார்கள்
ஒடச்சீங்க,உடைத்தீர்கள்
ஒடச்சுறீங்க,உடைக்கிறீர்கள்
ஒடச்சுவீங்க,உடைப்பீர்கள்
ஒடச்சிச்சி,உடைத்தது
ஒடச்சுது,உடைக்கிறது
ஒடச்சும்,உடைக்கும்
ஒடச்சான்,உடைத்தான்
ஒடச்சால்,உடைத்தாள்
ஒடச்சுறான்,உடைக்கின்றான்
ஒடச்சுறாள்,உடைக்கின்றாள்
உடச்சுவான்,உடைப்பான்
ஒடச்சுவாள்,உடைப்பாள்
காப்பாத்துற,காப்பாற்றல்
காப்பாத்தினேன்,காப்பாற்றினேன்
காப்பாத்துறேன்,காப்பாற்றுகிறேன்
காப்பாத்துவேன்,காப்பாற்றுவேன்
காப்பாத்திச்சி,காப்பாற்றியது
காப்பாத்துது,காப்பாற்றுகின்றது
காப்பாத்தும்,காப்பாற்றும்
காப்பாத்தினாங்க,காப்பாற்றினார்கள்
காப்பாத்துறாங்க,காப்பாற்றுகிறார்கள்
காப்பாத்துங்க,காப்பாற்றுங்கள்
காப்பாத்துவாங்க,காப்பாற்றுவார்கள்
காப்பாத்தினீங்க,காப்பாற்றுவீர்கள்
காப்பாத்துறீங்க,காப்பாற்றுகிறீர்கள்
காப்பாத்துவீங்க,காப்பாற்றுவீர்கள்
காப்பாத்தினான்,காப்பாற்றினான்
காப்பதினால்,காப்பாற்றினாள்
காப்பாத்துறான்,காப்பாற்றுகிறான்
காப்பாத்துறாள்,காப்பாற்றுகிறாள்
காப்பாத்துவான்,காப்பாற்றுவான்
காப்பாத்துவாள்,காப்பாற்றுவாள்
புழுங்கு,விழுங்கு
புழுங்கினேன்,விழுங்கினேன்
புழுங்குறேன்,விழுங்குகின்றேன்
புழுங்குவேன்,விழுங்குவேன்
புழுங்கிச்சி,விழுங்கியது
புழுங்குது,விழுங்குகிறது
புழங்கும்,விழுங்கும்
புழுங்கினாங்க,விழுங்கினார்கள்
புழுங்குறாங்க,விழுங்குகிறார்கள்
புழுங்குவாங்க,விழுங்குவார்கள்
புழுங்கினீங்க,விழுங்கினீர்கள்
புழுங்குறீங்க,விழுங்குகிறீர்கள்
புழுங்குவீங்க,விழுங்குவீர்கள்
புழுங்கினான்,விழுங்கினான்
புழுங்குறான்,விழுங்குகிறான்
புழுங்குவான்,விழுங்குவான்
புழுங்கினாள்,விழுங்கினாள்
புழுங்குறாள்,விழுங்குகிறாள்
புழுங்குவாள்,விழுங்குவாள்
நேரேய்ங்க,நிரப்பு
நேரச்சென்,நிரப்பினேன்
நெரப்புறேன்,நிரப்புகிறேன்
நெரப்புவேன்,நிரப்புவேன்
நெரசிச்சி,நிரைத்தது
நெரப்புது,நிரப்புகிறது
நெரப்பும்,நிரப்பும்
நெரச்சான்,நிரப்பினான்
நெரச்சுறான்,நிரப்புகிறான்
நெரப்புவான்,நிரப்புவான்
நெரச்சாள்,நிரப்பினாள்
நெரச்சுராள்,நிரப்புகிறாள்
நெரப்புவாள்,நிரப்புவாள்
நெரசாங்க,நிரப்பினார்கள்
நெரசுராங்க,நிரப்புகிறார்கள்
நெரப்புவாங்க,நிரப்புவார்கள்
நெரசீங்க,நிரப்பினீர்கள்
நெரசுறீங்க,நிரப்புகிறீர்கள்
நெரசுவீங்க,நிரப்புவீர்கள்
களூங்க,கழுவு
கலீனேன்,கழுவினேன்
கலூறேன்,கழுவுகிறேன்
கலூவேன்,கழுவுவேன்
கழுவிச்சி,கழுவியது
கழூது,கழுவுகின்றது
கழுகும்,கழுவும்
கலூரான்,கழுவுகின்றான்
கலூவான்,கழுவுவான்
கலூராள்,கழுவுகின்றாள்
கலூவால்,கழுவுவாள்
கழுவினாங்க,கழுவினார்கள்
கலூராங்க,கழுவுகின்றனர்
கலூவாங்க,கழுவுவார்கள்
களூரீங்க,கழுவுகின்றீர்கள்
காலூவீங்க,கழுகவீர்கள்
கலூனீங்க,கழுவினீர்கள்
நில்லுங்க,நில்
சென்னாச்சி,சொல்லிவிட்டார்
கூப்புட்ற,அழைத்தல்
பாத்த,பார்த்த
பாத்தேன்,பார்த்தேன்
பாக்குறேன்,பார்க்கின்றேன்
பாப்பேன்,பார்ப்பேன்
பாதிச்சி,பார்த்தது
பாக்குது,பார்க்கின்றது
பாக்கும்,பார்க்கும்
பாத்தான்,பார்த்தான்
பாக்குறான்,பார்க்கின்றான்
பாப்பான்,பார்ப்பான்
பாத்தாள்,பார்த்தாள்
பாக்குரால்,பார்க்கின்றாள்
பாப்பாள்,பார்ப்பாள்
பாத்தாங்க,பார்த்தார்கள்
பாக்குறாங்க,பார்க்கின்றனர்
பாப்பாங்க,பார்ப்பார்கள்
பாத்தீங்க,பார்த்தீர்கள்
பாக்குறீங்க,பார்கின்றீர்
பாப்பீங்க,பார்ப்பீர்கள்
கத்துற,கத்துதல்
கத்திச்சி,கத்தியது
கத்துது,கத்துகின்றது
கத்தினாங்க,கத்தினார்கள்
கத்துறாங்க,கத்துகின்றார்கள்
கத்துவாங்க,கத்துவார்கள்
கத்தினீங்க,கத்தினீர்கள்
கத்துறீங்க,கத்துகின்றீர்கள்
கத்துவீங்க,கத்துவீர்கள்
கத்துறான்,கத்துகின்றான்
கத்துறாள்,கத்துகின்றாள்
சுத்துற,சுற்றுதல்
சுத்தினேன்,சுற்றினேன்
சுத்துறேன்,சுற்றுகின்றேன்
சுத்துவேன்,சுற்றுவேன்
சுத்தினான்,சுற்றினான்
சுத்துறான்,சுற்றுகின்றான்
சுத்துவான்,சுற்றுவான்
சுத்தினால்,சுற்றினாள்
சுத்துறாள்,சுற்றுகின்றாள்
சுத்துவாள்,சுற்றுவாள்
சுத்திச்சி,சுற்றியது
சுத்துது,சுற்றுகிறது
சுத்தும்,சுற்றும்
சுத்தினாங்க,சுற்றினார்கள்
சுத்துறாங்க,சுற்றுகிறார்கள்
சுத்துவாங்க,சுற்றுவார்கள்
சுத்துவீங்க,சுற்றுவீர்கள்
சுத்துறீங்க,சுற்றுகிறீர்கள்
சுத்துவீங்க,சுற்றுவீர்கள்
கூப்புட்ற,கூப்பிடுதல்
கூப்புட்டேன்,கூப்பிட்டேன்
கூப்புடுறேன்,கூப்பிடுகிறேன்
கூப்புடுவேன்,கூப்பிடுவேன்
கூப்புட்டிச்சி,கூப்பிட்டது
கூப்புடுது,கூப்பிடுகிறது
கூப்புடும்,கூப்பிடும்
கூப்புட்டான்,கூப்பிட்டான்
கூப்புட்றான்,கூப்பிடுகின்றான்
கூப்புடுவான்,கூப்பிடுவான்
கூப்புட்டால்,கூப்பிட்டாள்
கூப்புடுறாள்,கூப்பிடுகிறாள்
கூப்புடுவாள்,கூப்பிடுவாள்
கூப்புட்டாங்க,கூப்பிட்டார்கள்
கூப்புட்றாங்க,கூப்பிடுகிறார்கள்
கூப்புடுவாங்க,கூப்பிடுவார்கள்
கூப்புட்டீங்க,கூப்பிட்டீர்கள்
கூப்புடுவீங்க,கூப்பிடுவீர்கள்
கூப்புடுவீங்க,கூப்பிடுவீர்கள்
மாத்துற,மாற்றுதல்
மாத்திச்சி,மாற்றியது
மாத்துது,மாற்றுகின்றது
மாத்தும்,மாற்றும்
மாத்தினான்,மாற்றினான்
மாத்துறான்,மாற்றுகின்றான்
மாத்துவான்,மாற்றுவான்
மாத்துவாள்,மாற்றுவாள்
மாத்துறாள்,மாற்றுகிறாள்
மாத்தினால்,மாற்றினாள்
மாத்தினாங்க,மாற்றினார்கள்
மாத்துறாங்க,மாற்றுகிறார்கள்
மாத்துவாங்க,மாற்றுவார்கள்
மாத்தினீங்க,மாற்றினீர்கள்
மாத்துறீங்க,மாற்றுகிறீர்கள்
மாத்துவீங்க,மாற்றுவீர்கள்
மாத்தினேன்,மாற்றினேன்
மாத்துவேன்,மாற்றுவேன்
மாத்துறேன்,மாற்றுகின்றேன்
வந்துக்கி,வந்துஇருக்கிறது
ஈகீ,இருக்கிறது
கேக்கல்ல,கேட்கவில்லை
வேலல்ல,வேலையில்லை
வெளங்கல்ல,விளங்கவில்லை
ஆக்கின,சமைத்த
ஆக்கினான்,சமைத்தான்
ஆக்குறான்,சமைக்கின்றான்
ஆக்குவான்,சமைப்பான்
ஆக்கினாள்,சமைத்தாள்
ஆக்குறாள்,சமைக்கின்றாள்
ஆக்குவாள்,சமைப்பாள்
ஆக்குது,சமைக்கின்றது
ஆகிச்சி,சமைத்தது
ஆக்கும்,சமைக்கும்
ஆக்கினாங்க,சமைத்தார்கள்
ஆக்குறாங்க,சமைக்கின்றார்கள்
ஆக்குவாங்க,சமைப்பார்கள்
ஆக்குறீங்க,சமைக்கின்றீர்கள்
ஆக்கினீங்க,சமைத்தீர்கள்
ஆக்குவீங்க,சமைப்பீர்கள்
ஆக்குவோம்,சமைப்போம்
ஆக்கினோம்,சமைத்தோம்
ஆக்குறோம்,சமைக்கின்றோம்
மாத்து,மாற்று
மாத்திச்சி,மாற்றியது
மாத்துது,மாற்றுகிறது
மாத்தும்,மாற்றும்
மாத்தினான்,மாற்றினான்
மாத்துறான்,மாற்றுகின்றான்
மாத்துவான்,மாற்றுவான்
மாத்தினால்,மாற்றினாள்
மாத்துறாள்,மாற்றுகின்றாள்
மாத்துவாள்,மாற்றுவாள்
மாத்தினாங்க,மாற்றினார்கள்
மாத்துறாங்க,மாற்றுகின்றனர்
மாத்துவாங்க,மாற்றுவார்கள்
மாத்தினீங்க,மாற்றினீர்கள்
மாத்துறீங்க,மாற்றுகின்றீர்கள்
மாத்துவீங்க,மாற்றுவீர்கள்
மாத்தினோம்,மாற்றினோம்
மாத்துறோம்,மாற்றுகின்றோம்
மாத்துவோம்,மாற்றுவோம்
உடு,விடு
உட்டிச்சி,விட்டது
உடுது,விடுகின்றது
உடும்,விடும்
உட்டான்,விட்டான்
உடுறான்,விடுகின்றான்
உடுவான்,விடுவான்
உட்டால்,விட்டாள்
உடுறாள்,விடுகின்றாள்
உடுவாள்,விடுவாள்
உடுவாங்க,விடுவார்கள்
உட்றாங்க,விடுகின்றார்கள்
உட்டாங்க,விட்டார்கள்
உடுவீங்க,விடுவீர்கள்
உட்ரீங்க,விடுகின்றீர்கள்
உட்டீங்க,விட்டீர்கள்
உட்டோம்,விட்டோம்
உடுவோம்,விடுவோம்
உட்றோம்,விடுகின்றோம்
நீங்க,தாங்கள்
ஊடு,வீடு
ஊட்டுக்கு,வீட்டுக்கு
ஊட்டை,வீட்டை
எத,எதை
வானம்,வேண்டாம்
வேணும்,வேண்டும்
முழுக்கா,முழுமையாக
தண்ணி,தண்ணீர்
தண்ணியை,தண்ணீரை
பெரிசி,பெரியது
பெருசா,பெரியதாக
சிரிசி,சிரியது
சிரிசா,சிரியதாக
சாமன்,பொருள்
சாமனை,பொருளை
அல்மாரி,அடுக்குப்பலகை
குசினி,சமையலறை
பசுந்து,அழகு
பசுந்தா,அழகாக
மூஞ்சி,முகம்
போன்,கையடக்க தொலைபேசி
போனை,கையடக்க தொலைபேசியை
பேஸ்,பணப்பை
பேஸை,பணப்பையை
பேஸில்,பணப்பையில்
பாரு,பார்
வேல,வேலை
நேறையா,நேராக
நெறய,நிறைய
உண்ம,உண்மை
உண்மய,உண்மையை
ஜொலி,வினோதம்
ஜொலியா,வினோதமாக
பின்னுக்கு,பின்னால்
முன்னுக்கு,முன்னால்
மொதல்ல,முதலில்
கூட்டாளி,நண்பன்
கூட்டாளியை,நண்பனை
கூட்டாளியோட,நன்பனோடு
ஒங்கள,உங்களை
ஒங்கட,உங்களது
மனுசன்,மனிதன்
அங்க,அவ்விடம்
சல்லி,பணம்
சல்லியை,பணத்தை
வெள்ளன,காலை
வெல்லனைல,காலையில்
ராவு,இரவு
கடசி,கடைசி
கடசியில்,கடைசியில்
அங்காள,அப்புறம்
இங்காள,இப்புறம்
ஒரே மாறி,அதே போல்
நீட்டம்,நீளம்
நீட்டமாக,நீளமாக
பண்டி,பன்றி
புள்ள,பிள்ளை
மாங்கா,மாம்பழம்
காத்து,காற்று
மல,மலை
கல்லு,கல்
லாச்சி,இழுப்பறை
பேன,பேனா
மேச,மேசை
புட்டுவம்,கதிரை
கோப்ப,கோப்பை
குட,குடை
பீங்கி,வீங்கி
வெரல்,விரல்
இன்னம்,இன்னும்
ராத்தா,அக்கா
பொறப்புகள்,உடன் பிறப்புக்கள்
மால,மாலை
மழ,மழை
பல்லு,பல்
ஒலகம்,உலகம்
ஓலக்க,உலக்கை
கொல்லப்பக்கம்,பின்புறம்
சுருக்கா,அவசரமாக
மேச,மேசை
தண்ணி,தண்ணீர்
பொஹ,புகை
மொஹம்,முகம்
தெறம,திறமை
நெலம்,நிலம்
சொஹரு,சிவரு
பச்ச,பச்சை
வெரல்,விரல்
தல,தலை
ஒதடு,உதடு
கட்ட,கட்டை
பள்ளு,பல்
கவல,கவலை
கட்டுற,கட்டுரை
ஒதவி,உதவி
மொற,முறை
பரவ,பறவை
பொறந்த நாள்,பிறந்த நாள்
ரத்தம்,இரத்தம்
கொழந்த,குழந்தை
உடுப்பு,ஆடை
கொழப்பம்,குழப்பம்
வெளக்கம்,விளக்கம்
ராவு,இரவு
தெச,திசை
ஊத்தை,அழுக்கு
மொதலாளி,முதலாளி
பிள,பிழை
வெளக்கம்,விளக்கம்
உண்ம,உண்மை
குப்ப,குப்பை
ஒசரம்,உயரம்
கட்பன,கட்பனை
எடம்,இடம்
எறச்சி,இறைச்சி
நெனவு,நினைவு
கடம,கடமை
பொரும,பொறுமை
கொல்ஹ,கொள்கை
பிரச்சின,பிரச்சினை
தேவ,தேவை
கத,கதை
பதட்டம்,பதற்றம்
ரெண்டு,இரண்டு
ஒண்டு,ஒன்று
மருகா,மறுபடியும்
செருப்பு,பாதணி
உரலோஸ்,கடிகாரம்
உடுப்பு,ஆடை
புட்டுவம்,கதிரை
குதற,குதிரை
மோஹம்,முகம்
நாளைக்கு,நாளை
பூன,பூனை
நெலும்பு,நுளம்பு
தல,தலை
அம்புல,ஆண்பிள்
பொம்புள,பெண்பிள்ளை
பிரச்சின,பிரச்சினை
ஜாய்,நன்றாக
மாறுவதை,மரியாதை
நப்பஹாம்,ஞாபகம்
வேற,வேறு
மிச்சம்,நிறைய
போறது,பிறகு
யாரு,யார்
போய்க்கி,பொய்
பெரும,பெருமை
பொறும,பொறுமை
சோம்பரம்,சோர்வு
சோஹம்,சுகம்
வேணும்,வேண்டும்
என்டு,என்று