Noun,Verb,Replacement
கல்,அடித்தல்,கல்
கல்,செதுக்குதல்,கல்
கல்,வீசுதல்,கல்
கல்,சேகரித்தல்,கல்
கல்,அருந்தினான்,மதுபானம்
கல்,அருந்தினாள்,மதுபானம்
கட,மூடுதல்,கடை
கட,திறத்தல்,கடை
மஞ்சள்,போட்டு சமைத்தல்,மஞ்சத்தூள்
மஞ்சள்,வண்ணம் தீட்டுதல்,மஞ்சள் நிறம்
மஞ்சள்,தீட்டி,மஞ்சள் நிறம்
மஞ்சள்,காயவைத்தார்,மஞ்சத்தூளை
பொருள்,தேடல்,அர்த்தம்
பொருள்,தூக்குதல்,பொருள்
பொருள்,தேடினேன்,அர்த்தம்
வாசம்,அனுபவித்தல்,மணம்
வாசத்தை,அனுபவித்தாள்,மணத்தை
வாசம்,புகுருத்தல்,வீடு
நெருக்கம்,எற்பட்டது,ஆர்வம்
நெருக்கம்,வந்தது,ஆர்வம்
நெருக்கத்தோடு,இருக்கின்றேன்,மன அழுத்தத்தோடு
நெருக்கத்தோடு,இருக்கின்றான்,மன அழுத்தத்தோடு
நெருக்கத்தோடு,இருக்கின்றாள்,மன அழுத்தத்தோடு
நெருக்கத்தில்,இருக்கின்றேன்,மன அழுத்தத்தில்
நெருக்கத்தில்,இருக்கின்றான்,மன அழுத்தத்தில்
நெருக்கத்தில்,இருக்கின்றாள்,மன அழுத்தத்தில்
நெருக்கமா,இருக்கின்றான்,மன அழுத்தமா
கால்,தீக்கோழி,கால்
கால்,அளவில் வெட்டப்பட்டது,கால்
பாதியாக,வெட்டப்பட்டது,அரைவாசியாக
பாதி,பாடினான்,பாடல்
முதல்,இடத்தை பெற்றான்,முதலாம்
முதல்,சேமித்தான்,பணம்
மாலை,காணப்படுகின்றது,அந்திமாலை
மாலை,சூடினாள்,மாலை
மாலை,வாங்கினான்,பூமாலை
பார்,வட்டமானது,உலகம்
வண்ணம்,தீட்டினான்,நிறம்
வண்ணம்,அணிந்திருந்தான்,அழகு
படம்,வரைந்தான்,சித்திரம்
படம்,பார்த்தான்,திரைப்படம்
தொடர்,கதைதான்,தொடர்ந்து
படி,எடையிடப்படுகின்றது,அளவுகோல்
படி,ஏறமுடியாது,படிக்கட்டு
பக்கவாதம்,நோய்வாய்ப்பட்டார்,பக்கவாதம்
பக்கவாதம்,பேசினார்,பாரபட்சமாக
பகட்டு,சீரழிக்கும்,ஆடம்பரம்
ககம்,உண்டேன்,மாம்பழம்
ககம்,வணங்கினோம்,கடவுள்
ககம்,எய்தினான்,அம்பு
ஆடு,உண்டேன்,ஆடு
பாய்,விரித்தான்,பாய்
பாய்,விதிக்கப்பட்டது,பாய்
பாய்,வாங்கினான்,பாய்
நீர்,குடித்தான்,தண்ணீர்
நீர்,ஊற்றினாள்,தண்ணீர்
நீர்,உண்மையான்,நீர்
முயல்,துள்ளியது,முயல்
முயல்,ஓடியது,முயல்
முயல்,வெள்ளையானது,முயல்
முயல்,வெற்றிக்கு உதவும்,முயற்சி
முயல்,வேண்டும்,முயற்சி
விடை,பெற்றான்,விடை பெறுதல்
விடை,சரியானது,பதில்
மாலை,நேரம் அழகானது,மாலை
மாலை,சூடினாள்,பூமாலை
அன்னம்,உண்டார்கள்,உணவு
அன்னம்,வழங்கினார்கள்,உணவு
அன்னம்,பரிமாறப்பட்டது,உணவு
அன்னம்,வாங்கினான்,உணவு
அன்னம்,சமைத்தனர்,உணவு
அன்னம்,வெள்ளையானது,வாத்து
அன்னம்,கண்டேன்,வாத்து
அன்னங்கள்,கண்டேன்,வாத்துக்கள்
மெய்,வெல்லும்,உண்மை
மெய்,நீடிக்கும்,உண்மை
மெய்,வடிவானது,உடம்பு
மெய்,பராமரித்தல்,உடம்பு
தாள்,வழங்கப்பட்டது,தாள்
தாள்,சுத்தமானது,பாதம்
நூல்,நூற்கப்பட்டது,நூல்
நூல்,பல நிறங்களில் விற்கப்பட்டது,நூல்
நூல்,நெய்தார்கள்,நூல்
நூல்,வாசித்தான்,புத்தகம்
நூல்,வாங்கினான்,புத்தகம்
நூல்,பெற்றான்,புத்தகம்
திங்கள்,விடுமுறை வழங்கப்பட்டது,திங்கட் கிழமை
திங்கள்,பிராகசமளித்தது,நிலா
திங்கள்,அழகாகத் தெரிந்தது,நிலவு
முடி,உதிர்த்தது,மயிர்
முடி,விரித்தாள்,கூந்தல்
முடி,அழகானது,கூந்தல்
முடி,நீளமானது,முடி
முடி,பெற்றது,நிறைவு
இடை,புகுந்தான்,மத்தியில்
இடை,வடிவானது,இடை
இடை,மென்மையானது,இடுப்பு
இடை,அழகானது,இடுப்பு
கால்,உடைந்தது,கால்
கால்,நீளமானது,கால்
கால்,மணிநேரமாக காணவில்லை,கால்
அடி,பலமாக இருந்தது,அடி
அடி,வாங்கினான்,அடி
அடி,தேய்ந்தது,பாதம்
தை,பிறந்தது,தை மாதம்
தை,விடுமுறை வழங்கப்பட்டது,தை மாதம்
தை,முடிக்கப்பட்டது,தையல்
இடம்,பெயர்ந்தார்கள்,இடம்
இடம்,விற்கப்பட்டது,நிலம்
இடம்,வாங்கப்பட்டது,நிலம்
இடம்,பக்கம் சென்றன,இடது
உடு,மின்னியது,நட்சத்திரம்
உடு,அழகாய் தெரிந்தது,நட்சத்திரம்
அரவம்,கடித்தது,பாம்பு
அரவம்,ஓடியது,பாம்பு
அரவம்,கேட்டது,ஓசை
அரவம்,வந்தது,ஓசை
அரி,பாய்ந்தது,சிங்கம்
அரி,கர்ச்சித்தது,சிங்கம்
அரி,வேட்டை ஆடியது,சிங்கம்
அரி,ரீங்காரமிட்டது,வண்டு
அரி,பறந்தது,வண்
நகை,அணிந்திருந்தாள்,ஆபரணம்
நகை,வாங்கினாள்,ஆபரணம்
நகை,பரிசளித்தாள்,ஆபரணம்
நகை,அழகானது,சிரிப்பு
கரி,பெரியது,யானை
கரி,உணவு உண்டது,யானை
கரி,எரிந்தது,விறகுக்கரி
மதி,பிரகாசமளித்தது,சந்திரன்
மதி,தேய்ந்தது,சந்திரன்
மதி,குறைவானது,புத்தி
மதி,மழுங்கியது,புத்தி
வடு,நீங்கியது,தழும்பு
வடு,ஏற்பட்டது,தழும்பு
வடு,ஆரியது,காயம்
வடு,மறைந்தது,காயம்
கலம்,நிறுத்தப்பட்டது,கப்பல்
கலம்,கரை ஒதுங்கியது,கப்பல்
கலம்,அணிந்தினர்,ஆபரணம்
கலம்,வாங்கினாள்,ஆபரணம்
அளி,அருந்தினர்,மது
அளி,சேகரிக்கப்பட்டது,தேன்
அளி,கடித்தது,தேன்
அம்பு,மரம் விழுந்தது,மூங்கில்
அம்பு,வெட்டினர்,மூங்கில்
அம்பு,கறுத்தது,மேகம்
ஆவி,பிரிந்தது,உயிர்
ஆவி,வீசியது,வாசனை
ஆவி,நுகர்ந்தான்,வாசனை
ஆவி,நிரம்பியது,குளம்
ஆவி,வற்றியது,குளம்
அகம்,தெளிவானது,உள்ளம்
அகம்,சுத்தமானது,உள்ளம்
அகம்,கட்டப்பட்டது,மனை
பரி,கொண்டவன்,அன்பு
பரி,செலுத்தினான்,அன்பு
பரி,வேகமாக ஓடியது,குதிரை
பரி,வளர்க்கின்றனர்,குதிரை
ஐயம்,கொண்டான்,சந்தேகம்
ஐயம்,தீங்கு விளைவிக்கும்,சந்தேகம்
ஐயம்,கேட்டு வந்தான்,பிச்சை
கவி,பாடப்பட்டது,பாட்டு
கவி,பாடினான்,புலவன்
கவி,தாவியது,குரங்கு
கோ,பால் கரக்கப்பட்டது,பசு
கோ,நாட்டை ஆழ்ந்தான்,அரசன்
கோ,ஆணையிட்டான்,அரசன்
பணி,சீரியது,பாம்பு
பணி,கடித்தது,பாம்பு
பணி,பிரப்பிக்கப்பட்டது,கட்டளை
பணி,செய்தான்,தொண்டு
பாவை,அழகானவள்,பெண்
பாவை,வாங்கினேன்,பொம்மை
ஆழி,சுழன்றது,சக்கரம்
ஆழி,விற்றான்,மோதிரம்
ஆழி,அலை பலமானது,கடல்
ஆடி,உடைந்தது,கண்ணாடி
ஆடி,சிறப்பானது,ஆடிமாதம்
முடி,சூட்டினர்,மகுடம்
முடி,வெட்டப்பட்டது,முடி
அமர்,தோல்வியுற்றது,போர்
அமர்,நிறுத்தப்பட்டது,போர்
அமர்,தாண்டினான்,மதில்
அமர்,கட்டினார்,மதில்
திரு,பொருந்தியவள்,அழகு
திரு,நிறைந்த மனிதன்,செல்வம்
ஆலம்,பொழிந்தது,மழை
ஆலம்,குடித்தான்,நஞ்சு
ஆலம்,நிறைக்கப்பட்டது,நீர்
அரவம்,சீரியது,பாம்பு
அரவம்,கேட்டது,ஓசை
அரவம்,ஒழித்தது,ஓசை
கறை,ஏற்பட்டது,மாசு
கறை,துடைத்தார்கள்,மாசு
கறை,சுமத்தப்பட்டது,குற்றம்
கறை,நிரூபிக்கப்பட்டது,குற்றம்
கண்டம்,ஏற்பட்டது,ஆபத்து
கண்டம்,வலி அதிகரித்தது,கழுத்து
இழை,ஜொலித்தது,ஆபரணம்
இழை,தொலைந்தது,ஆபரணம்
இழை,வாங்கினேன்,நூல்
வளை,ஒலித்தது,சங்கு
வளை,ஊதினான்,சங்கு
வளை,உடைக்கப்பட்டது,புற்று
வளை,அணிந்தேன்,வளையல்
வடு,ஆரியது,காயம்
வடு,ஏற்பட்டது,காயம்
வடு,நீங்கியது,தழும்பு
கலை,அரங்கேற்றப்பட்டது,வித்தை
கலை,கொண்டவன்,வித்தை
கலை,துள்ளி ஓடியது,மான்
கலை,சாப்பிட்டேன்,மான்
அரை,கிடைத்தது,பாதி
அரை,கொடுத்தான்,பாதி
அரை,வலி ஏற்பட்டது,இடுப்பு
ஏடு,படித்தான்,புத்தகம்
ஏடு,பரிசளிக்கப்பட்டது,புத்தகம்
பால்,குடித்தான்,பால்
பால்,விற்கப்பட்டது,பால்
பால்,அடிப்படையில் பிரித்தார்கள்,பால்
கடை,திறக்கப்பட்டது,கடை
கடை,இடத்தை பெற்றான்,இறுதி
பொருள்,வாங்கினான்,பொருள்
பொருள்,கிடைத்தது,பொருள்
பொருள்,கூறினேன்,அர்த்தம்
தடி,வெட்டினான்,தடி
காய்,வாங்கி வந்தார்,காய்கறி
காய்,உண்டேன்,காய்கறி
காயம்,அடைந்தான்,காயம்
காயம்,ஏற்பட்டது,புண்
ஒளி,மறைந்தது,மறை
ஒளி,தெண்பட்டது,வெளிச்சம்
ஒளி,கிடைக்கப்பெற்றது,வெளிச்சம்
வளை,உடைக்கப்பட்டது,புற்று
வளை,அணிந்தாள்,வளையல்
வளை,உடைந்தது,வளையல்
கரை,ஒதுங்கியது,ஓரம்
கரை,சென்றார்கள்,ஓரம்
கரை,கரைந்தது,கரை
சக்கரம்,உடைக்கப்பட்டது,சில்லு
சக்கரம்,தயாரித்தார்களா,சில்லு
சக்கரம்,வரைந்தார்கள்,வட்டம்
நாள்,வேகமாக நகர்ந்தது,நாள்
நாள்,குறிக்கப்படவில்லை,தினம்
களை,புட்களினிடையில் வளர்ந்தது,களை
களை,பிடுங்கப்பட்டது,களை
படம்,பார்க்கச் சென்றார்கள்,திரைப்படம்
படம்,அழகாக வரைந்தான்,படம்
படம்,நிறந்தீட்டப்பட்டது,படம்
ஆறு,நீளமானது,நதி
ஆறு,பாய்ந்து ஓடியது,நதி
இழை,நூற்றான்,பஞ்சுநூல்
இழை,விற்றான்,பஞ்சுநூல்
இழை,நிறைய அணிந்திருந்தாள்,ஆபரணம்
இரை,சமைக்கப்பட்டது,உணவு
இரை,பரிமாறினாள்,உணவு
எல்,நேரம் சென்றான்,பகல்
எல்,நகர்ந்தது,நாள்
எல்,தள்ளப்பட்டுள்ளது,நாள்
ஏறு,உணவு உண்டது,எருது
ஏறு,சத்தமிட்டது,எருது
ஏறு,கர்ச்சித்தது,ஆண்சிங்கம்
ஏடு,வேட்டையாடியது,ஆண்சிங்கம்
ஏடு,கூடியவன்,உயரம்
கலி,எய்தான்,அம்பு
கலி,அழகாகத் தெரிந்தது,கடல்
கலி,கூடாது,வஞ்சகம்
கலி,வைத்துக் கதைத்தான்,வஞ்சகம்
கட்டு,ஒன்றிணைந்தது,பந்தம்
கட்டு,செய்தார்கள்,திருமணம்
கட்டு,சிறப்பாக நிறைவுற்றது,திருமணம்
களி,ஏற்பட்டு விழுந்தான்,மயக்கம்
களி,தெளிந்தது,மயக்கம்
களி,அதிகம் கொண்டவள்,செருக்கு
கானம்,ஒலித்தது,கீதம்
கானம்,பற்றி எரிந்தது,காடு
கானம்,பாடியது,வானம்பாடி
படை,தாக்கியது,படை
கார்,நிறைந்திருந்தது,பசுமை
கார்,பொழிந்தது,மழை
கார்,இதமளித்தது,குளிர்ச்சி
குடி,கட்டினான்,வீடு
குடி,ஒன்றிணைந்தது,குடும்பம்
சரம்,சூடினாள்,பூமாலை
சரம்,வாங்கி வந்தான்,பூமாலை
சரம்,எய்தார்கள்,அம்பு
நிரை,செய்யப்பட்டது,நேர்த்தி
படை,அணிவகுத்தது,தானை
படை,தீட்டினான்,ஆயுதம்
பதி,ஆட்சி செய்தான்,அரசன்
பதி,நம்பிக்கை மிகுந்தவன்,இறைவன்
பதி,அன்பானவன்,கணவன்
பதி,சேதமாகியது,வீடு
பள்ளி,கொண்டேன்,நித்திரை
பள்ளி,திறக்கப்பட்டது,பாடசாலை
பாடு,ஏற்பட்டது,துன்பம்
பாடு,வந்தான்,பக்கம்
பாடு,கேட்டது,ஓசை
மாடு,விலை அதிகமானது,பொன்
மாடு,சேகரித்தான்,செல்வம்
மாடு,சாப்பிட்டது,எருது
வேழம்,கருமையானது,யானை
வேழம்,இனித்தது,கரும்பு
இரத்தம்,வெளியாகியது,குருதி
இரத்தம்,படிந்தது,கறை
உடல்,வலித்தது,மேனி
உடல்,ஆரியது,காயம்
அங்கதம்,அணிந்தாள்,தோளனி
அங்கதம்,கடித்தது,அரவு
அண்டர்,அருள் பொழிந்தார்,தேவர்
அண்டர்,மேய்த்தனர்,ஆயர்
அண்ணல்,கூடாது,பெருமை
அண்ணல்,வழி நடத்தினான்,தலைவன்
அணங்கு,வணங்கினான்,தெய்வம்
அணங்கு,வாய்ப்பட்டான்,நோய்
அணங்கு,நீங்கியது,வருத்தம்
அணங்கு,நிரூபிக்கப்பட்டது,கொலை
அணி,அலங்கரிக்கப்பட்டது,பூண்
அணி,பொருந்தியவள்,அழகு
அம்பர்,உடைந்து விழுந்தது,கூரை
அம்பர்,பொங்கியது,கடல்
அம்பர்,அழகாகத் தெரிந்தது,ஆகாயம்
அயில்,வணங்கினான்,வேல்
அயில்,தீட்டினான்,கூர்மை
அரணம்,தாண்டினான்,மதில்
அரணம்,அணிந்தான்,கவசம்
அரி,அலை மோதியது,கடல்
அரி,விலை அதிகரித்தது,பொன்
அரி,கனைத்தது,குதிரை
அரி,வீசியது,காற்று
அரி,கொண்டனர்,பகை
அரி,வீசி சண்டையிட்டனர்,வாள்
அரில்,தீர்க்கப்பட்டது,பிணக்கு
அரில்,சுமத்தினர்,குற்றம்
அடுகல்,கொண்டார்கள்,காதல்
தாரம்,பரிசளித்தான்,வெள்ளி
தாலம்,சுத்தப்படுத்தப்பட்டது,தரை
தாலம்,தரித்தான்,பனை
தாலம்,நீட்டினான்,நாக்கு
திணை,வேறுபட்டது,குலம்
திணை,வேண்டும்,ஒழுக்கம்
துணங்கை,ஆரம்பமாகியது,ஆடல்
துணங்கை,நிறைவேறியது,விழா
துப்பு,தீட்டினான்,வண்ணம்
துப்பு,கூடியவன்,வலிமை
துப்பு,விற்றார்கள்,அரக்கு
தூங்கல்,அளந்தான்,தராசு
தூங்கல்,மனப்பான்மையுடையவள்,தாழ்வு
தூவி,தயாரித்தார்கள்,பசை
தூவி,வலித்தது,தசை
தொய்யில்,வாங்கினாள்,தோடு
தொய்யில்,அடைந்தேன்,மகிழ்ச்சி
தொய்யில்,பிரகாசித்தது,அழகு
தோடு,பிரிக்கப்பட்டது,தொகுதி
தோல்,மதம்பிடித்து ஓடியது,யானை
நகை,தேவைப்பட்டது,மகிழ்ச்சி
நகை,குணமுடையவன்,விளையாட்டு
நந்தல்,விளைவித்தல்,கேடு
நந்தல்,அடைந்தான்,ஆக்கம்
நவம்,பேணினான்,கேண்மை
நவம்,கொண்டார்,புதுமை
நனவு,மிகுந்தது,உணர்ச்சி
நனவு,அதிகரிக்கப்பட்டது,அகலம்
நனி,பேசினான்,பெருமை
நனி,அதிகரித்தது,குளிர்ச்சி
நாகம்,ஊர்ந்து சென்றது,அரவு
நாகம்,சரிந்தது,மலை
நாகு,வளர்த்தான்,எருமை
நாகு,வலி மிகுந்தது,இளமை
நாண்,ஜொலித்தது,அணி
நாண்,கிடைத்தது,பாசம்
நியமம்,மூடப்பட்டது,அங்காடி
நியமம்,பிரிந்தது,தெரு
படிவம்,நிறைவு பெற்றது,விரதம்
படிவம்,பொருந்தியது,வடிவு
பதம்,தெரியவில்லை,வழி
பதம்,ஏற்கப்படவில்லை,சொல்
பதம்,மலர்ந்தது,காலை
பரவை,பரந்தது,கடல்
பரவை,கூடியது,பரப்பு
பாங்கு,மிகுந்தது,அழகு
பாங்கு,எடுத்தனர்,உரிமை
பாங்கு,வந்தான்,பக்கம்
பாசம்,நிறைவேறவில்லை,ஆசை
பாசம்,கட்டினான்,கயிறு
பாடி,சென்றான்,நகரம்
பாடி,கடந்து சென்றார்கள்,நாடு
பாழி,கூடியது,ஊர்
பாழி,தெரியவில்லை,வழி
பாழி,வடிவமைத்தான்,உறையுள்
பிரசம்,குடித்தேன்,தேன்
பிரசம்,குடித்தார்கள்,கள்
புணரி,அமைதியானது,கடல்
புணரி,மூடப்பட்டது,திரை
புரை,கொண்டான்,உயர்வு
புரை,கண்டுபிடிக்கப்பட்டது,குற்றம்
புலம்பு,விரும்பினான்,தனிமை
புலம்பு,அதிகரித்தது,நடுக்கம்
புலம்பு,அதிகமாகியது,புலம்பல்
கணை,வீங்கியது,திரட்சி
கணை,தாக்கினான்,பகழி
கதழ்வு,உடையவன்,வேகம்
கதழ்வு,கொண்டான்,சினம்
கந்தம்,அமைக்கப்பட்டது,தூண்
கந்தம்,சாப்பிட்டேன்,கிழங்கு
கந்தம்,கொண்டவள்,கருணை
கந்தரம்,வலித்தது,கழுத்து
கந்தரம்,கருத்தது,மேகம்
கம்பலை,கேட்டது,ஓசை
கம்பலை,அடைந்தேன்,நடுக்கம்
கம்பலை,ஏற்பட்டது,நடுக்கம்
கம்பலை,கொண்டேன்,அச்சம்
கரில்,செய்தனர்,கொடுமை
கரில்,சுத்தப்படுத்தப்பட்டது,குற்றம்
கருவி,அணிந்தனர்,கவசம்
கருவி,கொண்டான்,தொடர்பு
கருவி,அளித்தனர்,உபகாரம்
கருவி,மூடியது,மேகம்
கலை,வாங்கினேன்,நூல்
கலை,கற்றேன்,கல்வி
கலை,விற்றார்கள்,ஆடை
கவனம்,ஆகினான்,கடுப்பு
கவனம்,வீழ்ந்தது,நாடு
கழுது,கடித்தது,வண்டு
கழுது,வேசமிட்டான்,பேய்
களன்,வழிந்தது,பொய்கை
களன்,கொள்,தொடர்பு
கனலி,ஏற்றினேன்,தீபம்
கனலி,மறைந்தது,கதிரவன்
கனவு,ஏற்பட்டது,மயக்கம்
கனவு,கொண்டேன்,துயில்
காதை,பெயர்க்கப்பட்டது,மொழி
காதை,சொன்னான்,கதை
அருணம்,நிறத்தில் அணிந்தான்,சிவப்பு
அருணம்,ஓடியது,ஆடு
அழுங்கல்,ஏற்பட்டது,இரக்கம்
அழுங்கல்,செய்யக்கூடாது,கேடு
அளக்கர்,அலை மோதியது,கடல்
அளக்கர்,வெட்டப்பட்டது,நிலம்
அளக்கர்,படிந்தது,சேறு
அன்,தீட்டினான்,கூர்மை
அன்,வளர்ந்தது,செறிவு
ஆகம்,அழகானது,மார்பு
ஆகம்,வலிமை இழந்தது,உடல்
ஆசு,செய்தான்,குற்றம்
ஆசு,படுத்தினர்,விரைவு
ஆணை,செய்து முடித்தான்,செயல்
ஆணை,கொண்டாடப்பட்டது,வெற்றி
ஆயம்,நிறைவு பெற்றது,கூட்டம்
ஆரம்,பூசினார்,சந்தனம்
ஆரம்,கோர்த்தாள்,மாலை
ஆரம்,சேகரித்தாள்,முத்து
ஆரம்,விற்றான்,பூண்
இயல்,அளித்தது,சாயல்
இயல்,வேகமாகியது,நடை
இராகம்,இசைக்கப்பட்டது,கீதம்
இராகம்,தீட்டினாள்,நிறம்
இராகம்,கொடுத்தார்கள்,ஆதரவு
இழும்,ஒலித்தது,ஓசை
இழும்,தித்தித்தது,இனிமை
உலவை,தெரிவித்தான்,மறுப்பு
உலவை,வீசியது,காற்று
உழை,துள்ளியது,மான்
உழை,வசித்தான்,அருகிடம்
உறழ்வு,மதிக்கப்பட வேண்டும்,உணர்வு
ஊக்கம்,பொருந்தியது,வலிமை
ஊக்கம்,செய்,முயற்சி
ஊக்கம்,பேசினான்,உண்மை
ஊறு,செய்தான்,கொலை
எல்,தேவைப்பட்டது,ஒளி
எல்,விடிந்தது,பொழுது
எல்,மறைந்தது,இரவி
எல்லை,உதித்தது,பகலவன்
எல்லை,அளந்தான்,அளவை
எள்ளல்,எடுத்தான்,நகல்
எள்ளல்,செய்தனர்,இகழ்ச்சி
ஏமம்,வழங்கப்பட்டது,காவல்
ஏமம்,தொலைந்தது,இன்பம்
ஏமம்,நகர்ந்தது,இரவு
ஏமம்,ஏற்பட்டது,மயக்கம்
ஏமம்,மினுங்கியது,பொன்
ஓதி,அணிவித்தான்,மாலை
ஓதி,கரை சேர்ந்தது,அன்னம்
கட்சி,தீப்பற்றியது,காடு
கட்சி,கட்டியது,கூடு
கடி,அணிந்தாள்,காப்பு
கடி,தீட்டினான்,கூர்மை
கடி,தேவைப்பட்டது,விளக்கம்
கடி,அடைந்தேன்,புதுமை
கடிகை,தகர்க்கப்பட்டது,பேதம்
கடிகை,செயற்பட்டான்,சமயம்
கடிகை,கடந்தது,நாழிகை
கண்டம்,நெரித்தான்,கழுத்து
கண்டம்,மூடியது,திரை
கண்டம்,மின்னியது,வான்
கண்டம்,தாண்டினான்,தேசம்
கணம்,வரைந்தான்,வட்டம்
கணம்,கறுத்தது,மேகம்
கார்,நீங்கியது,கருமை
கார்,குடித்தேன்,நீர்
கார்,சூழ்ந்தது,மேகம்
காரி,கலந்தார்,நஞ்சு
கான்,வேண்டாம்,விரைவு
கான்,எரிந்தது,காடு
குயம்,அழகானது,இளமை
குலம்,கட்டப்பட்டது,இல்லம்
குலம்,நீங்கியது,கூட்டம்
குழல்,வளர்த்தான்,மயிர்
குழல்,இட்டான்,துளை
கூளி,வளர்த்தார்கள்,நட்பு
கூளி,பிரிக்கப்பட்டது,தொகுதி
கொற்றம்,இயங்கவில்லை,அரசியல்
கொற்றம்,பெற்றனர்,வெற்றி
கொன்,நீங்கியது,அச்சம்
கொன்,நகர்ந்தது,காலம்
கொன்,பேசினான்,பெருமை
கோ,கத்தியது,பசு
கோ,சுற்றியது,பார்
கோ,குளிர்ந்தது,நீர்
கோ,மாறியது,திசை
கோ,ஏறினான்,மலை
கோதை,வளர்த்தான்,மயிர்
கோதை,வீசியது,காற்று
கோல்,எய்தான்,அம்பு
கோல்,கனைத்தது,குதிரை
கோள்,மாறவில்லை,குணம்
கோன்,செய்யப்பட்டான்,கொலை
கோன்,கொன்றார்கள்,பகைவர்
கோன்,நெருங்கியது,நாள்
சாமம்,இருட்டியது,யாமம்
சாமம்,அளித்தான்,உபாயம்
சிலம்பு,அதிர்ந்தது,மலை
சிலம்பு,காதை பிளந்தது,ஒலி
சிலை,எய்தான்,வில்
சிலை,பிளந்தது,மலை
சிறை,கொடுக்கப்படவில்லை,காவல்
சிறை,வெட்டப்பட்டது,இறகு
சினை,அகற்றப்பட்டது,உறுப்பு
சினை,கலைத்தாள்,கரு
சீர்,பொருந்தியவள்,அழகு
சீர்,செழித்தது,செல்வம்
சீர்,அதிகரித்தது,சீர்மை
சுடர்,மயங்கினேன்,மதி
சுடர்,உதித்தது,கனலி
சுடர்,பிரகாசித்தது,ஒளி
சூர்,வணங்கினான்,தெய்வம்
சூர்,கொண்டேன்,அச்சம்
சூர்,வாய்ப்பட்டேன்,நோய்
செம்மல்,இறந்தான்,வீரர்
செம்மல்,பிறந்தான்,புத்திரர்
செம்மல்,வழிபட்டான்,இறைவன்
செயிர்,செய்தான்,குற்றம்
செழுமை,பெருகியது,வளம்
செழுமை,உருகியது,கொழுப்பு
சேண்,அடைந்தான்,உயர்வு
சேண்,அதிகரித்தது,நீளம்
தடம்,பேசினான்,பெருமை
தடம்,சரிந்தது,மலை
தரணி,வாங்கினேன்,நிலம்
தரணி,உடைந்தது,மலை
தனிமம்,பெருகியது,அழகு
தனிமம்,வாங்கினான்,மெத்தை
பொழில்,சுற்றினான்,உலகம்
பொறை,கொண்டவள்,பொறுமை
பொறை,தூக்கினான்,பாரம்
பொறை,சுமந்தாள்,சுமை
மஞ்சு,மிகுந்தவள்,வனப்பு
மஞ்சு,பொழிந்தது,மேகம்
மறலி,தெளிந்தது,மயக்கம்
மறன்,தண்டனைக்குரியது,கொலை
மறன்,நீங்கியது,வலி
மா,வேண்டாம்,பெருமை
மா,கடத்தது,வண்டு
மா,நிறமானவள்,கருமை
முரண்,அதிகரித்தது,வலி
முரண்,கொண்டார்கள்,பகை
மூரல்,உண்டான்,சோறு
மூரல்,அணிந்தாள்,நகை
மெய்,பராமரிக்கப்பட்டது,உடம்பு
மெய்,பேசு,உண்மை
மை,சுமத்தினார்கள்,குற்றம்
மை,கத்தியது,ஆடு
வசி,தீட்டினான்,வாள்
வசி,கொண்டது,கூர்மை
வல்லை,படுத்தினார்கள்,விரைவு
வல்லை,கட்டினான்,மதில்
வனம்,அழித்தான்,காடு
வனம்,படுத்தினான்,அழகு
வாரணம்,பெரியது,யானை
வாரணம்,சமைத்தாள்,கோழி
வாரணம்,ஊதினான்,சங்கு
விறப்பு,கூட்டப்பட்டது,செறிவு
விறப்பு,அதிகரித்தது,பெருக்கம்
வெறுக்கை,பொழிந்தது,செல்வம்
வேய்,வெட்டினேன்,மூங்கில்
வேலி,கட்டினான்,மதில்
வேலை,கோறப்பட்டது,காவல்
வேலை,ஆழமானது,கடல்
வேலை,நகர்ந்தது,காலம்
வேளாண்மை,செய்தான்,உபகாரம்
வேளாண்மை,வழங்கினான்,ஈகை
